target,role,tag
YWHAZ,ONC,cancermine
AJUBA,ONC,cancermine
AMOTL1,ONC,cancermine
ANP32C,ONC,cancermine
ANXA2,ONC,cancermine
ARHGAP10,TSG,cancermine
ARL11,ONC,cancermine
ASCL1,ONC,cancermine
BCL2L2,ONC,cancermine
BEX2,TSG,cancermine
BSG,ONC,cancermine
CALCA,ONC,cancermine
CARM1,ONC,cancermine
CBFA2T3,TSG,cancermine
CBX8,ONC,cancermine
CCDC6,ONC,cancermine
CEBPA,ONC,cancermine
CEBPD,TSG,cancermine
CHD1,TSG,cancermine
CNDP2,TSG,cancermine
CTCFL,ONC,cancermine
DACH1,TSG,cancermine
DLGAP5,ONC,cancermine
DNM3,TSG,cancermine
DOT1L,ONC,cancermine
DPH1,TSG,cancermine
DUSP1,ONC,cancermine
DUSP4,TSG,cancermine
EFEMP1,TSG,cancermine
EGR2,ONC,cancermine
EIF4EBP1,ONC,cancermine
ESRP1,TSG,cancermine
FEZF1,ONC,cancermine
FH,TSG,cancermine
G6PD,ONC,cancermine
GDE1,TSG,cancermine
GOLPH3L,ONC,cancermine
GPBAR1,TSG,cancermine
GRIK2,TSG,cancermine
GSN,TSG,cancermine
HMGN5,ONC,cancermine
HTRA1,TSG,cancermine
IQGAP2,TSG,cancermine
IRF6,TSG,cancermine
KCNQ1,TSG,cancermine
KDM4A,ONC,cancermine
KIF4A,ONC,cancermine
LATS1,TSG,cancermine
LGI1,TSG,cancermine
LIN28A,ONC,cancermine
LMO3,ONC,cancermine
LSAMP,TSG,cancermine
LYL1,ONC,cancermine
MAGED4,ONC,cancermine
MAL,TSG,cancermine
MDK,ONC,cancermine
MEF2C,ONC,cancermine
MMP7,ONC,cancermine
MSI1,ONC,cancermine
MSX1,ONC,cancermine
MTUS1,TSG,cancermine
MZF1,ONC,cancermine
NANOG,ONC,cancermine
NCL,ONC,cancermine
NEK7,ONC,cancermine
NKX2-2,ONC,cancermine
NOS3,ONC,cancermine
NR2F2,ONC,cancermine
NUP98,ONC,cancermine
PAX2,ONC,cancermine
PHF8,ONC,cancermine
PIGU,ONC,cancermine
PIM2,ONC,cancermine
PLAG1,ONC,cancermine
PPARA,TSG,cancermine
PRC1,ONC,cancermine
PREX1,ONC,cancermine
PRSS3,TSG,cancermine
PTN,ONC,cancermine
PTPRZ1,ONC,cancermine
RAB37,TSG,cancermine
RHOB,TSG,cancermine
RHOH,ONC,cancermine
RPS6KA2,TSG,cancermine
RSF1,ONC,cancermine
S100A2,TSG,cancermine
SALL2,TSG,cancermine
SEMA3F,TSG,cancermine
SIX1,ONC,cancermine
SMYD3,ONC,cancermine
SOX5,ONC,cancermine
STK4,TSG,cancermine
SYNPO2,TSG,cancermine
TACC3,ONC,cancermine
TACSTD2,ONC,cancermine
THBS1,TSG,cancermine
TKTL1,ONC,cancermine
TLX3,ONC,cancermine
TMED3,TSG,cancermine
TNFAIP8L2,TSG,cancermine
TRIM33,TSG,cancermine
TRPM1,TSG,cancermine
UBE2S,ONC,cancermine
VDR,ONC,cancermine
VWA5A,TSG,cancermine
ZNF750,TSG,cancermine
AGRN,ONC,cancermine
AHNAK,TSG,cancermine
ALDOA,ONC,cancermine
ALOX15,TSG,cancermine
ARNT,ONC,cancermine
AXIN1,TSG,cancermine
BIN1,TSG,cancermine
BNC2,TSG,cancermine
BTG1,TSG,cancermine
CAMTA1,TSG,cancermine
CBLB,ONC,cancermine
CD151,ONC,cancermine
CD24,ONC,cancermine
CDC25A,ONC,cancermine
CDC6,ONC,cancermine
CDH11,TSG,cancermine
CDH17,ONC,cancermine
CDK10,TSG,cancermine
CDK5RAP3,TSG,cancermine
CDK9,ONC,cancermine
CLCA1,TSG,cancermine
CNOT3,TSG,cancermine
COPS5,ONC,cancermine
CSF3R,ONC,cancermine
CSMD1,TSG,cancermine
CTBP2,ONC,cancermine
CTDSPL,TSG,cancermine
CTHRC1,ONC,cancermine
CXCL14,TSG,cancermine
DCD,ONC,cancermine
DDX5,ONC,cancermine
DIRAS1,TSG,cancermine
DIS3,TSG,cancermine
DMBT1,TSG,cancermine
DMD,TSG,cancermine
EAF2,TSG,cancermine
EI24,TSG,cancermine
EN2,ONC,cancermine
ENTPD5,ONC,cancermine
FAM83D,ONC,cancermine
FGF2,ONC,cancermine
FOXA2,TSG,cancermine
FSTL1,TSG,cancermine
GALR1,TSG,cancermine
GATA2,ONC,cancermine
GLS,ONC,cancermine
GRHL2,TSG,cancermine
GRN,ONC,cancermine
GRP,ONC,cancermine
GUCY2C,TSG,cancermine
HDGF,ONC,cancermine
HOXA11,TSG,cancermine
HOXA13,ONC,cancermine
HOXA5,TSG,cancermine
HOXC6,ONC,cancermine
IGFBP3,TSG,cancermine
IGFBP5,TSG,cancermine
IL7R,ONC,cancermine
INSR,ONC,cancermine
INTS6,TSG,cancermine
KDM3A,ONC,cancermine
KDM3B,TSG,cancermine
KLF10,TSG,cancermine
LGR5,ONC,cancermine
LGR6,TSG,cancermine
LIMD2,ONC,cancermine
LXN,TSG,cancermine
LZTFL1,TSG,cancermine
LZTS1,TSG,cancermine
MAP2K6,ONC,cancermine
MAP3K3,ONC,cancermine
MCF2,ONC,cancermine
MIEN1,ONC,cancermine
MLH1,TSG,cancermine
MMP2,ONC,cancermine
MYOD1,TSG,cancermine
NACC1,ONC,cancermine
NAMPT,ONC,cancermine
NBN,TSG,cancermine
NCOA2,ONC,cancermine
NCOR1,ONC,cancermine
NEDD9,ONC,cancermine
NISCH,TSG,cancermine
NKX2-5,ONC,cancermine
NTSR1,TSG,cancermine
ODC1,ONC,cancermine
OGT,ONC,cancermine
PA2G4,TSG,cancermine
PDLIM5,ONC,cancermine
PER1,TSG,cancermine
PHLDA3,TSG,cancermine
PINX1,TSG,cancermine
PLXNC1,TSG,cancermine
PPP1R1B,ONC,cancermine
PRDM14,ONC,cancermine
PTBP1,ONC,cancermine
PTHLH,ONC,cancermine
PTK7,ONC,cancermine
PTPN9,TSG,cancermine
RAD9A,ONC,cancermine
RALA,ONC,cancermine
RASAL2,TSG,cancermine
RASSF6,TSG,cancermine
RBM45,TSG,cancermine
RECK,TSG,cancermine
RERG,TSG,cancermine
RND3,TSG,cancermine
RP1,TSG,cancermine
RRBP1,ONC,cancermine
S100A11,TSG,cancermine
S100A8,ONC,cancermine
S1PR2,TSG,cancermine
SCARB1,ONC,cancermine
SDHB,TSG,cancermine
SET,ONC,cancermine
SF3B1,TSG,cancermine
SFRP2,TSG,cancermine
SLC9A9,ONC,cancermine
SMAD5,TSG,cancermine
SMARCA2,TSG,cancermine
SOSTDC1,TSG,cancermine
SOX15,TSG,cancermine
SOX3,ONC,cancermine
SPINT2,TSG,cancermine
SRY,ONC,cancermine
SSBP2,TSG,cancermine
STOML2,ONC,cancermine
SUFU,TSG,cancermine
TAT,TSG,cancermine
TBK1,ONC,cancermine
TBX1,TSG,cancermine
TDGF1,ONC,cancermine
TEAD4,ONC,cancermine
TFDP1,TSG,cancermine
THEM4,ONC,cancermine
TNFSF11,ONC,cancermine
TP53BP1,TSG,cancermine
TP53I3,ONC,cancermine
TRIM14,ONC,cancermine
TRIM44,ONC,cancermine
TRIM59,ONC,cancermine
TSG101,TSG,cancermine
UBE3A,TSG,cancermine
ULK1,ONC,cancermine
USP15,ONC,cancermine
VPS53,TSG,cancermine
XPO1,ONC,cancermine
ZYG11A,ONC,cancermine
ACSL1,TSG,cancermine
ADCYAP1,ONC,cancermine
AGL,TSG,cancermine
AHI1,ONC,cancermine
AMACR,ONC,cancermine
AMOTL2,ONC,cancermine
ANXA1,ONC,cancermine
AREG,ONC,cancermine
ARHGAP1,TSG,cancermine
ARNTL,TSG,cancermine
ATF7IP,ONC,cancermine
ATMIN,TSG,cancermine
ATOH7,ONC,cancermine
ATP8A2,ONC,cancermine
BCL9,ONC,cancermine
BIRC7,ONC,cancermine
BLK,ONC,cancermine
BMP4,ONC,cancermine
BNIP3L,TSG,cancermine
BOP1,ONC,cancermine
BTK,ONC,cancermine
CARD11,ONC,cancermine
CBX2,ONC,cancermine
CCNG1,ONC,cancermine
CCNG2,ONC,cancermine
CD300A,ONC,cancermine
CD34,ONC,cancermine
CD4,ONC,cancermine
CHFR,TSG,cancermine
CHMP1A,TSG,cancermine
CIRBP,TSG,cancermine
CLDN7,TSG,cancermine
CLOCK,ONC,cancermine
CMTM3,TSG,cancermine
CMTM7,TSG,cancermine
CNTNAP2,TSG,cancermine
COPS3,ONC,cancermine
CPEB1,TSG,cancermine
CRP,ONC,cancermine
CTTN,ONC,cancermine
CXCL12,ONC,cancermine
CXCL2,ONC,cancermine
DCN,TSG,cancermine
DDB2,TSG,cancermine
DDIT3,ONC,cancermine
DDIT4,ONC,cancermine
DDR2,ONC,cancermine
DDX20,TSG,cancermine
DHX9,ONC,cancermine
DOK2,TSG,cancermine
DTX1,ONC,cancermine
E2F6,ONC,cancermine
ELAVL1,ONC,cancermine
EPCAM,ONC,cancermine
EPHB3,TSG,cancermine
EPHB6,TSG,cancermine
ERP29,TSG,cancermine
ETV4,ONC,cancermine
EYA2,ONC,cancermine
F11R,ONC,cancermine
FAM107A,TSG,cancermine
FAM83H,ONC,cancermine
FBXO32,TSG,cancermine
FGF4,ONC,cancermine
FGF8,ONC,cancermine
FNDC3B,ONC,cancermine
FOXC2,ONC,cancermine
FOXG1,ONC,cancermine
FUBP1,ONC,cancermine
FXR1,ONC,cancermine
GDF11,TSG,cancermine
GFI1B,ONC,cancermine
GJB2,TSG,cancermine
GLDC,ONC,cancermine
GNG4,TSG,cancermine
GOLM1,ONC,cancermine
GPC5,TSG,cancermine
GPR137,ONC,cancermine
GPX7,TSG,cancermine
GRB7,ONC,cancermine
GRHL1,TSG,cancermine
GRIN2A,TSG,cancermine
HAS2,ONC,cancermine
HDAC2,ONC,cancermine
HELLS,ONC,cancermine
HMGB3,ONC,cancermine
HNRNPA1,ONC,cancermine
HNRNPA2B1,ONC,cancermine
HPSE2,TSG,cancermine
HRG,ONC,cancermine
IGF2BP1,ONC,cancermine
IL15,ONC,cancermine
ING5,TSG,cancermine
JAK3,ONC,cancermine
JDP2,ONC,cancermine
KCNH1,ONC,cancermine
KCTD12,TSG,cancermine
KDM4B,ONC,cancermine
KDM5C,ONC,cancermine
LAPTM4B,ONC,cancermine
LARP7,TSG,cancermine
LEP,ONC,cancermine
LEPR,ONC,cancermine
LHX2,ONC,cancermine
LHX6,TSG,cancermine
LMNA,ONC,cancermine
LMO4,ONC,cancermine
LSM1,ONC,cancermine
LYN,ONC,cancermine
MAP3K14,ONC,cancermine
MAP3K5,TSG,cancermine
MAPK9,ONC,cancermine
MCM7,ONC,cancermine
MSI2,ONC,cancermine
MUC16,ONC,cancermine
MUC2,TSG,cancermine
MYEOV,ONC,cancermine
MYH11,ONC,cancermine
NEFH,TSG,cancermine
NFE2L2,ONC,cancermine
NHLH2,ONC,cancermine
NMI,TSG,cancermine
NRP2,ONC,cancermine
NSD1,ONC,cancermine
NT5C2,ONC,cancermine
NUP214,ONC,cancermine
OSR1,TSG,cancermine
PADI2,ONC,cancermine
PARK7,ONC,cancermine
PAX9,ONC,cancermine
PDK1,ONC,cancermine
PFN1,TSG,cancermine
PHLDA1,TSG,cancermine
PHLDA2,TSG,cancermine
