target,driver_citations,oncogene_citations,tumor_suppressor_citations,all_citations,No_driver,role
TSC22D1,0,0,1,1,1,TSG
TSC22D3,0,1,0,1,1,ONC
TSGA10,0,1,0,1,1,ONC
TSHR,0,1,0,1,1,ONC
TSHZ2,0,0,1,1,1,TSG
TSPAN13,0,0,1,1,1,TSG
TSPAN18,0,0,1,1,1,TSG
TSPAN4,0,1,0,1,1,ONC
TSPAN7,0,0,1,1,1,TSG
TSTA3,0,1,0,1,1,ONC
TTC12,0,0,1,1,1,TSG
TTC36,0,0,1,1,1,TSG
TTC4,0,0,1,1,1,TSG
TTR,0,0,1,1,1,TSG
TUT1,0,0,1,1,1,TSG
TXNDC5,0,1,0,1,1,ONC
TXNDC9,0,1,0,1,1,ONC
TXNRD1,1,0,0,1,0,DRV
TYMP,1,0,0,1,0,DRV
UBA7,0,0,1,1,1,TSG
UBB,0,1,0,1,1,ONC
UBE2I,0,0,1,1,1,TSG
UBE2K,0,1,0,1,1,ONC
UBQLN1,0,0,1,1,1,TSG
UBQLN4,0,0,1,1,1,TSG
UBTF,0,1,0,1,1,ONC
UCHL3,1,0,0,1,0,DRV
UFM1,0,0,1,1,1,TSG
UNC93A,0,0,1,1,1,TSG
UPP1,0,1,0,1,1,ONC
URGCP,0,1,0,1,1,ONC
USE1,0,1,0,1,1,ONC
USH2A,0,0,1,1,1,TSG
USP1,0,1,0,1,1,ONC
USP33,0,0,1,1,1,TSG
USP36,0,1,0,1,1,ONC
USP44,0,0,1,1,1,TSG
USP46,0,0,1,1,1,TSG
USP49,0,0,1,1,1,TSG
USP8,0,1,0,1,1,ONC
UVRAG,0,0,1,1,1,TSG
UXT,0,1,0,1,1,ONC
VANGL2,0,0,1,1,1,TSG
VAPA,0,1,0,1,1,ONC
VASH1,0,0,1,1,1,TSG
VAV2,0,1,0,1,1,ONC
VCL,1,0,0,1,0,DRV
VCX,0,1,0,1,1,ONC
VEGFB,0,1,0,1,1,ONC
VEZT,0,0,1,1,1,TSG
VGLL3,0,0,1,1,1,TSG
VIP,0,1,0,1,1,ONC
VIPR2,0,1,0,1,1,ONC
VLDLR,0,0,1,1,1,TSG
VPS37A,0,0,1,1,1,TSG
VPS52,0,0,1,1,1,TSG
VTN,0,1,0,1,1,ONC
VWA2,0,1,0,1,1,ONC
VWCE,0,1,0,1,1,ONC
VWF,0,1,0,1,1,ONC
WAS,0,0,1,1,1,TSG
WDR1,0,1,0,1,1,ONC
WDR12,0,1,0,1,1,ONC
WDR66,0,1,0,1,1,ONC
WDR76,0,0,1,1,1,TSG
WFDC1,0,0,1,1,1,TSG
WLS,0,1,0,1,1,ONC
WNT11,0,0,1,1,1,TSG
WNT4,0,0,1,1,1,TSG
WNT5B,0,0,1,1,1,TSG
WTIP,0,0,1,1,1,TSG
XPO5,0,1,0,1,1,ONC
XRCC6,0,0,1,1,1,TSG
XRN1,0,0,1,1,1,TSG
YME1L1,0,0,1,1,1,TSG
YOD1,0,1,0,1,1,ONC
YTHDC1,0,0,1,1,1,TSG
ZAP70,0,1,0,1,1,ONC
ZAR1,0,0,1,1,1,TSG
ZBTB17,0,1,0,1,1,ONC
ZBTB4,0,0,1,1,1,TSG
ZBTB7B,0,1,0,1,1,ONC
ZC3H12A,0,0,1,1,1,TSG
ZC3H12D,0,0,1,1,1,TSG
ZCCHC10,0,0,1,1,1,TSG
ZCCHC12,0,1,0,1,1,ONC
ZCCHC13,0,1,0,1,1,ONC
ZDHHC3,0,0,1,1,1,TSG
ZFAND4,0,1,0,1,1,ONC
ZFP57,0,0,1,1,1,TSG
ZHX1,0,1,0,1,1,ONC
ZIM2,0,0,1,1,1,TSG
ZMYM2,1,0,0,1,0,DRV
ZNF121,0,1,0,1,1,ONC
ZNF132,0,0,1,1,1,TSG
ZNF148,0,1,0,1,1,ONC
ZNF185,0,0,1,1,1,TSG
ZNF208,0,0,1,1,1,TSG
ZNF224,0,1,0,1,1,ONC
ZNF267,0,1,0,1,1,ONC
ZNF276,0,0,1,1,1,TSG
ZNF280A,0,0,1,1,1,TSG
ZNF326,0,1,0,1,1,ONC
ZNF331,0,0,1,1,1,TSG
ZNF384,0,1,0,1,1,ONC
ZNF395,0,0,1,1,1,TSG
ZNF433,1,0,0,1,0,DRV
ZNF471,0,0,1,1,1,TSG
ZNF488,0,1,0,1,1,ONC
ZNF516,0,0,1,1,1,TSG
ZNF521,0,1,0,1,1,ONC
ZNF569,0,0,1,1,1,TSG
ZNF582,0,0,1,1,1,TSG
ZNF677,0,0,1,1,1,TSG
ZNF70,0,0,1,1,1,TSG
ZNFX1,0,0,1,1,1,TSG
ZSCAN18,0,0,1,1,1,TSG
ZSCAN22,1,0,0,1,0,DRV
ZSWIM5,0,0,1,1,1,TSG
